fulltext,label
دانش آموز عزیزم سلام.برگه‌ت رو جوری ننویس که وسط تصحیحش مجبور شم کندی کراش بازی کنم که بشوره ببره.مرسی اه.,0
بدبختی ها مث آب بخار میشن و میرن تو آسمون ولی ابر میشن و باز رو سرت میبارن,1
 یدونه ازینا لطفا برای این فلک‌زده بدبخت پیدا کنید,1
سه شب منتظر جوابش باشی سین کنه جواب نده بیشعور نیست ؟,1
 تو یه احمق بی کله ای حتی نمی تونی گُهتو بخوری.,1
 عزیزم سمت عرضه است که با مونوپولی احمقانه رانت ایجاد میکنه.در ضمن تو باورت میشه که تو جیک ثانیه که سایت باز میشه غیر از خودیها که قبلا خریدن شخص حقیقی میتونه ماشین بخره؟,1
 رامیشتاین عشقه عشقآهنگ مادرشو احتمالاً گوش دادی حرف ندارم.,0
حقیقتن فک میکنم کراشمو خیلی دوس دارم و ی هوس زودگذر نیس چون میخام براش بهترین دوستش باشمو همیشه هواشو داشته باشم,0
این بدبخت هم محو زیبایی دشمن شده و میخواد مداکره کنه ولی نمی دونه که چند لحظه بعد در شکمش مذاکره خواهد کرد... جیک جیک... کمکش کنید.. ,0
 عزیزی خدایی تایم لاین بدون تو خشک و بی روحه، من که با توییتهات کلی میخندم دمت گرم,0
 من وقتی که پروسیجر های تکراری بر اساس مشاهده سیمپتوم رو انجام میدن متنفرم!چون آدمها همه متفاوند و قرار نیست نشون دادن یک رفتار در همه به یک معنا باشه.درمانگری که خودش به درمان خودش اهمیت نده و فکر کنه فخر عالم بشریته، آسیب زننده است,1
 اتفاقاًآدم بسیاربسیارسطحی وخنگیه که۲۴ساله تنهاتونسته۱تئوری مطرح کنه اونم فشارازپایین وچانه زنی ازبالابودکه نتیجه ای جزبدبختی وسرکوب برای خودملت نداشت. این آدم هیچی نیست جز یک شکنجه‌گر بازجو . تئوریسین کیسینجره یا برژنسکیه که تو همین ۲۴ سال۳ کتاب نوشتن و برای دنیا۳طرح دادند,1
 : برای مدت طولانی از کسی متنفر نباشید، چون تنفر تبدیل به نقطه ضعفتان میشود. یاد بگیرید فرد را از دایره مورد نظر توجه تان خارج…,1
 کاش که در قیامتشبارِ دگر بدیدمیکانچه گناهِ او بُوَدمن بکشم غرامتش!#عالیجناب_سعدی,0
٢تا كبوتر ٢ماه پيش ميومدن رو بند رختمون ميخابيدن، مامانم يبار ي حركت خفني زد طفليا اومدن تو خونه بعد از در اپارتمان فراريشون داد، جاي خون يكيشون هنوز رو سقفه بدبختا بعد ٢ماه برگشته بودن، شنيدم از تو بالكن صداي بيه بيه مياد، خاب بودن رفته بود بهشون غذا بده دوباره اومدن تو خونه :(,1
اما املت پنیر خیلی خاصه ،بعید عشق پنیر باشی تا بپسندیش#دیسفان ,0
 ایجاد محدودیت‌های احمقانه و بی‌فایده که فقط باعث ناراحتی و نارضایتی مردم میشود (مثل راه ندادن زنها به ورزشگاه یا فیلترینگ)جایزه دادن به آدمهایی که در خیابان برای تحمیل عقیده خودشون روی دیگران دست و صدا بلند میکننراه‌اندازی گشت ارشاد,1
